Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
67,10,21,42,75
68,1,12,25,60
68,2,12,25,60
68,3,12,25,60
68,4,12,25,60
68,5,12,25,60
68,6,12,25,60
68,7,12,25,60
68,8,12,25,60
68,9,12,25,60
68,10,12,25,60
69,1,31,58,352
69,2,31,58,352
69,3,31,58,352
69,4,31,58,352
69,5,31,58,352
69,6,31,58,352
69,7,31,58,352
69,8,31,58,352
69,9,31,58,352
69,10,31,58,352
70,1,14,16,2
70,2,14,16,2
70,3,14,16,2
70,4,14,16,2
70,5,14,16,2
70,6,14,16,2
70,7,14,16,2
70,8,14,16,2
70,9,14,16,2
70,10,14,16,2
71,1,15,18,4
71,2,15,18,4
71,3,15,18,4
71,4,15,18,4
71,5,15,18,4
71,6,15,18,4
71,7,15,18,4
71,8,15,18,4
71,9,15,18,4
71,10,15,18,4
72,1,2,2,1
72,2,2,2,1
72,3,2,2,1
72,4,2,2,1
72,5,2,2,1
72,6,2,2,1
72,7,2,2,1
72,8,2,2,1
72,9,2,2,1
72,10,2,2,1
73,1,3,9,5
73,2,3,9,5
73,3,3,9,5
73,4,3,9,5
73,5,3,9,5
73,6,3,9,5
73,7,3,9,5
73,8,3,9,5
73,9,3,9,5
73,10,3,9,5
74,1,29,35,4
74,2,29,35,4
74,3,29,35,4
74,4,29,35,4
74,5,29,35,4
74,6,29,35,4
74,7,29,35,4
74,8,29,35,4
74,9,29,35,4
74,10,29,35,4
75,1,34,59,78
75,2,34,59,78
75,3,34,59,78
75,4,34,59,78
75,5,34,59,78
75,6,34,59,78
75,7,34,59,78
75,8,34,59,78
75,9,34,59,78
75,10,34,59,78
76,1,17,25,18
76,2,17,25,18
76,3,17,25,18
76,4,17,25,18
76,5,17,25,18
76,6,17,25,18
76,7,17,25,18
76,8,17,25,18
76,9,17,25,18
76,10,17,25,18
77,1,16,19,2
77,2,16,19,2
77,3,16,19,2
77,4,16,19,2
77,5,16,19,2
77,6,16,19,2
77,7,16,19,2
77,8,16,19,2
77,9,16,19,2
77,10,16,19,2
78,1,3,3,1
78,2,3,3,1
78,3,3,3,1
78,4,3,3,1
78,5,3,3,1
78,6,3,3,1
78,7,3,3,1
78,8,3,3,1
78,9,3,3,1
78,10,3,3,1
79,1,22,39,248
79,2,22,39,248
79,3,22,39,248
79,4,22,39,248
79,5,22,39,248
79,6,22,39,248
79,7,22,39,248
79,8,22,39,248
79,9,22,39,248
79,10,22,39,248
80,1,19,55,840
80,2,19,55,840
80,3,19,55,840
80,4,19,55,840
80,5,19,55,840
80,6,19,55,840
80,7,19,55,840
80,8,19,55,840
80,9,19,55,840
80,10,19,55,840
81,1,16,16,1
81,2,16,16,1
81,3,16,16,1
81,4,16,16,1
81,5,16,16,1
81,6,16,16,1
81,7,16,16,1
81,8,16,16,1
81,9,16,16,1
81,10,16,16,1
82,1,4,13,10
82,2,4,13,10
82,3,4,13,10
82,4,4,13,10
82,5,4,13,10
82,6,4,13,10
82,7,4,13,10
82,8,4,13,10
82,9,4,13,10
82,10,4,13,10
83,1,47,56,14
83,2,47,56,14
83,3,47,56,14
83,4,47,56,14
83,5,47,56,14
83,6,47,56,14
83,7,47,56,14
83,8,47,56,14
83,9,47,56,14
83,10,47,56,14
84,1,3,3,1
84,2,3,3,1
84,3,3,3,1
84,4,3,3,1
84,5,3,3,1
84,6,3,3,1
84,7,3,3,1
84,8,3,3,1
84,9,3,3,1
84,10,3,3,1
85,1,41,55,24
85,2,41,55,24
85,3,41,55,24
85,4,41,55,24
85,5,41,55,24
85,6,41,55,24
85,7,41,55,24
85,8,41,55,24
85,9,41,55,24
85,10,41,55,24
86,1,NA,NA,NA
87,1,42,80,1872
87,2,42,80,1872
87,3,42,80,1872
87,4,42,80,1872
87,5,42,80,1872
87,6,42,80,1872
87,7,42,80,1872
87,8,42,80,1872
87,9,42,80,1872
87,10,42,80,1872
88,1,34,36,3
88,2,34,36,3
88,3,34,36,3
88,4,34,36,3
88,5,34,36,3
88,6,34,36,3
88,7,34,36,3
88,8,34,36,3
88,9,34,36,3
88,10,34,36,3
89,1,NA,NA,NA
90,1,16,37,90
90,2,16,37,90
90,3,16,37,90
90,4,16,37,90
90,5,16,37,90
90,6,16,37,90
90,7,16,37,90
90,8,16,37,90
90,9,16,37,90
90,10,16,37,90
91,1,6,11,6
91,2,6,11,6
