Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
74,1,23,37,42
74,2,23,37,42
74,3,23,37,42
74,4,23,37,42
74,5,23,37,42
74,6,23,37,42
74,7,23,37,42
74,8,23,37,42
74,9,23,37,42
74,10,23,37,42
75,1,NA,NA,NA
76,1,23,50,182
76,2,23,50,182
76,3,23,50,182
76,4,23,50,182
76,5,23,50,182
76,6,23,50,182
76,7,23,50,182
76,8,23,50,182
76,9,23,50,182
76,10,23,50,182
77,1,22,35,80
77,2,22,35,80
77,3,22,35,80
77,4,22,35,80
77,5,22,35,80
77,6,22,35,80
77,7,22,35,80
77,8,22,35,80
77,9,22,35,80
77,10,22,35,80
78,1,29,54,768
78,2,29,54,768
78,3,29,54,768
78,4,29,54,768
78,5,29,54,768
78,6,29,54,768
78,7,29,54,768
78,8,29,54,768
78,9,29,54,768
78,10,29,54,768
79,1,0,0,1
79,2,0,0,1
79,3,0,0,1
79,4,0,0,1
79,5,0,0,1
79,6,0,0,1
79,7,0,0,1
79,8,0,0,1
79,9,0,0,1
79,10,0,0,1
80,1,22,47,399
80,2,22,47,399
80,3,22,47,399
80,4,22,47,399
80,5,22,47,399
80,6,22,47,399
80,7,22,47,399
80,8,22,47,399
80,9,22,47,399
80,10,22,47,399
81,1,17,35,108
81,2,17,35,108
81,3,17,35,108
81,4,17,35,108
81,5,17,35,108
81,6,17,35,108
81,7,17,35,108
81,8,17,35,108
81,9,17,35,108
81,10,17,35,108
82,1,7,7,1
82,2,7,7,1
82,3,7,7,1
82,4,7,7,1
82,5,7,7,1
82,6,7,7,1
82,7,7,7,1
82,8,7,7,1
82,9,7,7,1
82,10,7,7,1
83,1,18,18,1
83,2,18,18,1
83,3,18,18,1
83,4,18,18,1
83,5,18,18,1
83,6,18,18,1
83,7,18,18,1
83,8,18,18,1
83,9,18,18,1
83,10,18,18,1
84,1,9,11,4
84,2,9,11,4
84,3,9,11,4
84,4,9,11,4
84,5,9,11,4
84,6,9,11,4
84,7,9,11,4
84,8,9,11,4
84,9,9,11,4
84,10,9,11,4
85,1,13,32,20
85,2,13,32,20
85,3,13,32,20
85,4,13,32,20
85,5,13,32,20
85,6,13,32,20
85,7,13,32,20
85,8,13,32,20
85,9,13,32,20
85,10,13,32,20
86,1,NA,NA,NA
87,1,NA,NA,NA
88,1,11,34,100
88,2,11,34,100
88,3,11,34,100
88,4,11,34,100
88,5,11,34,100
88,6,11,34,100
88,7,11,34,100
88,8,11,34,100
88,9,11,34,100
88,10,11,34,100
89,1,NA,NA,NA
90,1,21,29,16
90,2,21,29,16
90,3,21,29,16
90,4,21,29,16
90,5,21,29,16
90,6,21,29,16
90,7,21,29,16
90,8,21,29,16
90,9,21,29,16
90,10,21,29,16
91,1,17,41,576
91,2,17,41,576
91,3,17,41,576
91,4,17,41,576
91,5,17,41,576
91,6,17,41,576
91,7,17,41,576
91,8,17,41,576
91,9,17,41,576
91,10,17,41,576
92,1,20,26,3
92,2,20,26,3
92,3,20,26,3
92,4,20,26,3
