Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
77,10,29,39,24
78,1,NA,NA,NA
79,1,11,32,37
79,2,11,32,37
79,3,11,32,37
79,4,11,32,37
79,5,11,32,37
79,6,11,32,37
79,7,11,32,37
79,8,11,32,37
79,9,11,32,37
79,10,11,32,37
80,1,37,47,16
80,2,37,47,16
80,3,37,47,16
80,4,37,47,16
80,5,37,47,16
80,6,37,47,16
80,7,37,47,16
80,8,37,47,16
80,9,37,47,16
80,10,37,47,16
81,1,NA,NA,NA
82,1,5,5,1
82,2,5,5,1
82,3,5,5,1
82,4,5,5,1
82,5,5,5,1
82,6,5,5,1
82,7,5,5,1
82,8,5,5,1
82,9,5,5,1
82,10,5,5,1
83,1,37,65,90
83,2,37,65,90
83,3,37,65,90
83,4,37,65,90
83,5,37,65,90
83,6,37,65,90
83,7,37,65,90
83,8,37,65,90
83,9,37,65,90
83,10,37,65,90
84,1,20,42,234
84,2,20,42,234
84,3,20,42,234
84,4,20,42,234
84,5,20,42,234
84,6,20,42,234
84,7,20,42,234
84,8,20,42,234
84,9,20,42,234
84,10,20,42,234
85,1,11,34,87
85,2,11,34,87
85,3,11,34,87
85,4,11,34,87
85,5,11,34,87
85,6,11,34,87
85,7,11,34,87
85,8,11,34,87
85,9,11,34,87
85,10,11,34,87
86,1,10,12,3
86,2,10,12,3
86,3,10,12,3
86,4,10,12,3
86,5,10,12,3
86,6,10,12,3
86,7,10,12,3
86,8,10,12,3
86,9,10,12,3
86,10,10,12,3
87,1,50,80,7200
87,2,50,80,7200
87,3,50,80,7200
87,4,50,80,7200
87,5,50,80,7200
87,6,50,80,7200
87,7,50,80,7200
87,8,50,80,7200
87,9,50,80,7200
87,10,50,80,7200
88,1,12,12,1
88,2,12,12,1
88,3,12,12,1
88,4,12,12,1
88,5,12,12,1
88,6,12,12,1
88,7,12,12,1
88,8,12,12,1
88,9,12,12,1
88,10,12,12,1
89,1,32,54,342
89,2,32,54,342
89,3,32,54,342
89,4,32,54,342
89,5,32,54,342
89,6,32,54,342
89,7,32,54,342
89,8,32,54,342
89,9,32,54,342
89,10,32,54,342
90,1,18,27,5
90,2,18,27,5
90,3,18,27,5
90,4,18,27,5
90,5,18,27,5
90,6,18,27,5
90,7,18,27,5
90,8,18,27,5
90,9,18,27,5
90,10,18,27,5
91,1,20,47,312
91,2,20,47,312
91,3,20,47,312
91,4,20,47,312
91,5,20,47,312
91,6,20,47,312
91,7,20,47,312
91,8,20,47,312
91,9,20,47,312
91,10,20,47,312
92,1,30,62,900
92,2,30,62,900
92,3,30,62,900
92,4,30,62,900
92,5,30,62,900
92,6,30,62,900
92,7,30,62,900
92,8,30,62,900
92,9,30,62,900
92,10,30,62,900
93,1,26,37,24
93,2,26,37,24
93,3,26,37,24
93,4,26,37,24
93,5,26,37,24
93,6,26,37,24
93,7,26,37,24
93,8,26,37,24
93,9,26,37,24
93,10,26,37,24
94,1,26,34,18
94,2,26,34,18
94,3,26,34,18
94,4,26,34,18
94,5,26,34,18
94,6,26,34,18
94,7,26,34,18
94,8,26,34,18
94,9,26,34,18
94,10,26,34,18
95,1,14,22,24
95,2,14,22,24
95,3,14,22,24
95,4,14,22,24
95,5,14,22,24
95,6,14,22,24
95,7,14,22,24
