Signature,AMM_Time,Average_MM_Size,Union_AMM_Size,Number_MM
963,NA,NA,NA,NA
964,NA,NA,NA,NA
965,NA,NA,NA,NA
966,NA,NA,NA,NA
967,NA,NA,NA,NA
968,NA,NA,NA,NA
969,NA,NA,NA,NA
970,NA,NA,NA,NA
971,NA,NA,NA,NA
972,NA,NA,NA,NA
973,NA,NA,NA,NA
974,NA,NA,NA,NA
975,NA,NA,NA,NA
976,NA,NA,NA,NA
977,NA,NA,NA,NA
978,NA,NA,NA,NA
979,NA,NA,NA,NA
980,NA,NA,NA,NA
981,NA,NA,NA,NA
982,NA,NA,NA,NA
983,440.44157123565674,2.0,2,1
984,406.78820157051086,5.0,5,1
985,NA,NA,NA,NA
986,NA,NA,NA,NA
987,NA,NA,NA,NA
988,NA,NA,NA,NA
989,NA,NA,NA,NA
990,NA,NA,NA,NA
991,531.3313994407654,8.0,8,1
992,550.8566761016846,4.0,4,1
993,NA,NA,NA,NA
994,478.3733081817627,32.333333333333336,35,3
995,NA,NA,NA,NA
996,NA,NA,NA,NA
997,NA,NA,NA,NA
998,NA,NA,NA,NA
999,NA,NA,NA,NA
