Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
869,18,34,36
870,NA,NA,NA
871,4,4,1
872,20,35,7
873,4,4,1
874,6,6,1
875,2,2,1
876,NA,NA,NA
877,9,10,2
878,9,9,1
879,14,15,2
880,0,0,1
881,1,1,1
882,16,16,1
883,3,3,1
884,NA,NA,NA
885,4,4,1
886,8,9,2
887,8,8,1
888,12,19,6
889,NA,NA,NA
890,5,5,1
891,0,0,1
892,11,12,2
893,4,4,1
894,52,67,49
895,NA,NA,NA
896,4,4,1
897,4,4,1
898,6,6,1
899,8,8,1
900,7,10,3
901,2,2,1
902,3,3,1
903,28,38,12
904,NA,NA,NA
905,10,10,1
906,12,14,4
907,1,1,1
908,6,6,1
909,21,25,16
910,2,2,1
911,2,2,1
912,NA,NA,NA
913,29,37,32
914,NA,NA,NA
915,0,0,1
916,NA,NA,NA
917,NA,NA,NA
918,4,4,1
919,NA,NA,NA
920,28,64,108
921,0,0,1
922,11,11,1
923,3,4,2
924,8,8,1
925,14,14,1
926,4,4,1
927,9,23,10
928,NA,NA,NA
929,NA,NA,NA
930,3,3,1
931,11,16,12
932,12,12,1
933,0,0,1
934,22,25,4
935,0,0,1
936,2,2,1
937,12,12,1
938,4,4,1
939,5,5,1
940,3,3,1
941,12,20,8
942,5,8,2
943,31,45,10
944,8,8,1
945,8,9,2
946,18,30,5
947,NA,NA,NA
948,15,24,12
949,NA,NA,NA
950,NA,NA,NA
951,7,8,2
952,4,4,1
953,7,8,2
954,0,0,1
955,7,12,3
956,23,40,9
957,6,6,1
958,NA,NA,NA
959,14,33,28
960,40,49,288
961,10,13,8
962,4,4,1
963,4,4,1
964,NA,NA,NA
965,24,48,48
966,0,0,1
967,0,0,1
968,NA,NA,NA
969,18,22,4
970,11,13,2
971,4,4,1
972,5,5,1
973,13,22,24
974,24,34,48
975,NA,NA,NA
976,2,2,1
977,4,4,1
978,2,2,1
979,9,10,2
980,6,6,1
981,3,3,1
982,NA,NA,NA
983,2,2,1
984,4,5,2
985,7,10,6
986,1,1,1
987,6,6,1
988,NA,NA,NA
989,4,4,1
990,9,9,1
991,8,8,1
992,4,4,1
993,6,6,1
994,32,42,12
995,2,2,1
996,NA,NA,NA
997,14,20,18
998,NA,NA,NA
999,4,7,2
